iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,15616.954846000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
ABW,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,44690.56431600001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
ABW,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,4.068362,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
ABW,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,521.195797,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
ABW,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,15664.863006,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
ABW,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,44847.784691999994,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
ABW,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,4.042946000000001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
ABW,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,523.240136,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
ABW,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,15725.993903,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
ABW,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,45023.383896,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
ABW,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,4.0576229999999995,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
ABW,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,525.6599699999999,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,15803.57095,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,45236.434583999995,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,4.094686,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
ABW,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,526.616335,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
ABW,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
ABW,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,15840.26017,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
ABW,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,45326.642844,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
ABW,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,4.132086,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,147775.9559,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,4468386.722825,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,12742592.4798,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,1247.773425,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AFG,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,151772.8842,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,4587574.030835,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,13085580.326136,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,1275.2198990000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AFG,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,155640.33370000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4702603.236070001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,13417161.267072,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,1300.656198,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AFG,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,159288.4517,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,4811104.035645,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,13729932.699192,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,1324.631653,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:08.504777
AFG,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,162907.60890000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,4917395.078115,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,14038877.848104002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,1343.328411,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.516884
AFG,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,166820.26479999998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,5031223.6026099995,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,14371798.974095998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,1359.457314,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:54.391513
AFG,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,170603.68529999998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,5143078.6225149995,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,14695503.205224,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,1381.794091,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,174424.58479999998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AFG,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,5256080.311805,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,15022452.562728,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,1404.497877,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AGO,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,135347.00559999995,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AGO,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,4042735.657849999,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,11621213.18088,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,954.79057,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.471434
AGO,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,140077.1256,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AGO,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,4176134.298595,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,12019494.936792,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,958.395403,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.655145
AGO,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,144885.88669999997,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AGO,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
AGO,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4317841.29998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
AGO,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,12430465.911887998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.079618
