Threatened_species,Year,Series,Value
Kyrgyzstan,2010,Threatened Species: Plants (number),14
Grenada,2019,Threatened Species: Plants (number),3
Chile,2018,Threatened Species: Total (number),217
Brazil,2004,Threatened Species: Total (number),697
French Southern Territories,2018,Threatened Species: Plants (number),0
Bouvet Island,2010,Threatened Species: Vertebrates (number),2
Philippines,2017,Threatened Species: Plants (number),239
Sint Maarten (Dutch part),2018,Threatened Species: Invertebrates (number),10
Comoros,2010,Threatened Species: Total (number),89
Czechia,2010,Threatened Species: Plants (number),4
Marshall Islands,2019,Threatened Species: Total (number),101
Christmas Island,2004,Threatened Species: Invertebrates (number),0
Vanuatu,2004,Threatened Species: Plants (number),10
Bahamas,2016,Threatened Species: Vertebrates (number),65
Afghanistan,2020,Threatened Species: Plants (number),5
Mali,2010,Threatened Species: Vertebrates (number),23
India,2018,Threatened Species: Vertebrates (number),540
Bosnia and Herzegovina,2018,Threatened Species: Plants (number),3
Bulgaria,2018,Threatened Species: Plants (number),9
Argentina,2010,Threatened Species: Invertebrates (number),12
Israel,2019,Threatened Species: Total (number),205
South Africa,2018,Threatened Species: Vertebrates (number),248
Somalia,2020,Threatened Species: Plants (number),53
Paraguay,2019,Threatened Species: Invertebrates (number),0
Tuvalu,2018,Threatened Species: Invertebrates (number),78
Western Sahara,2017,Threatened Species: Invertebrates (number),3
Morocco,2018,Threatened Species: Vertebrates (number),105
Greece,2016,Threatened Species: Total (number),361
Bahrain,2019,Threatened Species: Invertebrates (number),13
Northern Mariana Islands,2019,Threatened Species: Total (number),102
Ireland,2019,Threatened Species: Total (number),71
Eswatini,2017,Threatened Species: Total (number),34
Guyana,2018,Threatened Species: Vertebrates (number),73
Bahamas,2019,Threatened Species: Plants (number),12
Republic of Korea,2010,Threatened Species: Plants (number),3
Dominica,2010,Threatened Species: Vertebrates (number),27
Malta,2017,Threatened Species: Total (number),39
Paraguay,2019,Threatened Species: Plants (number),20
Bangladesh,2020,Threatened Species: Vertebrates (number),133
Sweden,2018,Threatened Species: Vertebrates (number),27
Albania,2018,Threatened Species: Vertebrates (number),62
Republic of Moldova,2016,Threatened Species: Invertebrates (number),5
Anguilla,2018,Threatened Species: Plants (number),4
Tonga,2016,Threatened Species: Invertebrates (number),47
Aruba,2020,Threatened Species: Plants (number),5
Lebanon,2018,Threatened Species: Invertebrates (number),18
North Macedonia,2018,Threatened Species: Invertebrates (number),86
Botswana,2019,Threatened Species: Total (number),33
Central African Republic,2016,Threatened Species: Total (number),57
Peru,2018,Threatened Species: Total (number),713
State of Palestine,2017,Threatened Species: Plants (number),3
Cambodia,2004,Threatened Species: Vertebrates (number),72
Georgia,2019,Threatened Species: Plants (number),68
Saint Martin (French part),2016,Threatened Species: Plants (number),3
Tuvalu,2004,Threatened Species: Invertebrates (number),1
Nigeria,2017,Threatened Species: Plants (number),196
Sierra Leone,2018,Threatened Species: Invertebrates (number),8
Cameroon,2017,Threatened Species: Plants (number),490
Chile,2019,Threatened Species: Invertebrates (number),13
Croatia,2020,Threatened Species: Vertebrates (number),97
Paraguay,2018,Threatened Species: Total (number),62
Costa Rica,2016,Threatened Species: Total (number),337
Central African Republic,2018,Threatened Species: Invertebrates (number),0
Trinidad and Tobago,2016,Threatened Species: Total (number),68
Egypt,2018,Threatened Species: Total (number),163
