Threatened_species,Year,Series,Value
Saint Barthélemy,2017,Threatened Species: Total (number),31
Mali,2018,Threatened Species: Total (number),46
Myanmar,2010,Threatened Species: Vertebrates (number),143
Viet Nam,2018,Threatened Species: Plants (number),231
Papua New Guinea,2004,Threatened Species: Vertebrates (number),141
Turkey,2017,Threatened Species: Plants (number),107
Venezuela (Boliv. Rep. of),2017,Threatened Species: Vertebrates (number),220
Venezuela (Boliv. Rep. of),2017,Threatened Species: Invertebrates (number),26
Heard Is. and McDonald Is.,2019,Threatened Species: Total (number),12
Republic of Moldova,2018,Threatened Species: Invertebrates (number),6
Saint Pierre and Miquelon,2020,Threatened Species: Total (number),19
Turkey,2004,Threatened Species: Plants (number),3
Tuvalu,2004,Threatened Species: Vertebrates (number),7
Malaysia,2020,Threatened Species: Plants (number),997
United States Virgin Islands,2016,Threatened Species: Vertebrates (number),42
Wallis and Futuna Islands,2016,Threatened Species: Plants (number),1
Guyana,2018,Threatened Species: Invertebrates (number),1
Haiti,2010,Threatened Species: Total (number),137
Sierra Leone,2010,Threatened Species: Plants (number),48
Turks and Caicos Islands,2010,Threatened Species: Total (number),34
Iceland,2019,Threatened Species: Vertebrates (number),29
Algeria,2004,Threatened Species: Plants (number),2
Chad,2019,Threatened Species: Invertebrates (number),4
Heard Is. and McDonald Is.,2019,Threatened Species: Vertebrates (number),12
British Indian Ocean Terr.,2020,Threatened Species: Total (number),91
Saint Lucia,2016,Threatened Species: Total (number),60
Namibia,2017,Threatened Species: Plants (number),27
United Arab Emirates,2018,Threatened Species: Vertebrates (number),45
Christmas Island,2016,Threatened Species: Invertebrates (number),18
Norway,2010,Threatened Species: Vertebrates (number),27
Gambia,2010,Threatened Species: Vertebrates (number),39
Aruba,2018,Threatened Species: Total (number),32
Estonia,2017,Threatened Species: Invertebrates (number),6
British Indian Ocean Terr.,2010,Threatened Species: Plants (number),1
Montserrat,2019,Threatened Species: Plants (number),6
Portugal,2020,Threatened Species: Invertebrates (number),205
Slovakia,2017,Threatened Species: Vertebrates (number),20
Palau,2020,Threatened Species: Total (number),189
Cabo Verde,2004,Threatened Species: Plants (number),2
Uzbekistan,2017,Threatened Species: Invertebrates (number),3
Nicaragua,2010,Threatened Species: Total (number),121
Sao Tome and Principe,2020,Threatened Species: Total (number),108
Djibouti,2018,Threatened Species: Total (number),103
New Zealand,2020,Threatened Species: Total (number),261
Bahamas,2019,Threatened Species: Total (number),95
Mauritius,2010,Threatened Species: Vertebrates (number),36
Niue,2020,Threatened Species: Plants (number),1
Nigeria,2020,Threatened Species: Invertebrates (number),13
Tonga,2017,Threatened Species: Invertebrates (number),47
Costa Rica,2016,Threatened Species: Plants (number),140
Sao Tome and Principe,2017,Threatened Species: Plants (number),37
Sao Tome and Principe,2016,Threatened Species: Invertebrates (number),5
Iran (Islamic Republic of),2017,Threatened Species: Total (number),134
Finland,2004,Threatened Species: Total (number),25
Liberia,2004,Threatened Species: Total (number),94
Bolivia (Plurin. State of),2016,Threatened Species: Vertebrates (number),124
Burkina Faso,2010,Threatened Species: Invertebrates (number),1
Dem. People's Rep. Korea,2016,Threatened Species: Total (number),77
Burundi,2004,Threatened Species: Total (number),28
Norway,2019,Threatened Species: Invertebrates (number),10
Gabon,2010,Threatened Species: Invertebrates (number),0
Republic of Korea,2010,Threatened Species: Vertebrates (number),58
Jersey,2020,Threatened Species: Invertebrates (number),1
Tokelau,2016,Threatened Species: Total (number),49
Grenada,2020,Threatened Species: Plants (number),3
Austria,2019,Threatened Species: Vertebrates (number),28
Liechtenstein,2018,Threatened Species: Plants (number),0
Norfolk Island,2020,Threatened Species: Vertebrates (number),25
Switzerland,2016,Threatened Species: Total (number),71
Bouvet Island,2004,Threatened Species: Plants (number),0
Azerbaijan,2004,Threatened Species: Plants (number),0
Réunion,2010,Threatened Species: Invertebrates (number),73
Lebanon,2004,Threatened Species: Invertebrates (number),1
Nepal,2016,Threatened Species: Total (number),107
Panama,2018,Threatened Species: Plants (number),211
Croatia,2020,Threatened Species: Plants (number),35
United Kingdom,2017,Threatened Species: Total (number),102
Pakistan,2016,Threatened Species: Invertebrates (number),18
Japan,2004,Threatened Species: Invertebrates (number),45
Guatemala,2004,Threatened Species: Plants (number),85
Botswana,2004,Threatened Species: Vertebrates (number),15
Seychelles,2004,Threatened Species: Plants (number),45
Uruguay,2010,Threatened Species: Plants (number),1
Guinea-Bissau,2020,Threatened Species: Invertebrates (number),2
Dominican Republic,2020,Threatened Species: Vertebrates (number),136
Viet Nam,2016,Threatened Species: Invertebrates (number),152
Brunei Darussalam,2020,Threatened Species: Invertebrates (number),18
Singapore,2018,Threatened Species: Invertebrates (number),173
Gabon,2020,Threatened Species: Invertebrates (number),4
Senegal,2016,Threatened Species: Plants (number),12
Russian Federation,2010,Threatened Species: Plants (number),8
Palau,2010,Threatened Species: Total (number),128
Guernsey,2017,Threatened Species: Plants (number),0
Saudi Arabia,2004,Threatened Species: Invertebrates (number),1
Sweden,2017,Threatened Species: Vertebrates (number),25
Saint Vincent & Grenadines,2016,Threatened Species: Vertebrates (number),41
Mauritius,2018,Threatened Species: Vertebrates (number),48
Solomon Islands,2018,Threatened Species: Invertebrates (number),151
Denmark,2004,Threatened Species: Vertebrates (number),21
Bhutan,2004,Threatened Species: Invertebrates (number),1
Saint Helena,2018,Threatened Species: Vertebrates (number),41
Chad,2010,Threatened Species: Vertebrates (number),24
Poland,2017,Threatened Species: Total (number),58
Bangladesh,2019,Threatened Species: Vertebrates (number),128
Lithuania,2004,Threatened Species: Plants (number),0
Guinea-Bissau,2020,Threatened Species: Plants (number),10
Barbados,2017,Threatened Species: Total (number),56
Albania,2020,Threatened Species: Total (number),142
Micronesia (Fed. States of),2016,Threatened Species: Invertebrates (number),115
Lithuania,2019,Threatened Species: Total (number),35
Honduras,2017,Threatened Species: Invertebrates (number),21
Guadeloupe,2004,Threatened Species: Plants (number),7
Germany,2004,Threatened Species: Invertebrates (number),31
Brunei Darussalam,2017,Threatened Species: Invertebrates (number),8
Malawi,2019,Threatened Species: Vertebrates (number),74
Mexico,2019,Threatened Species: Invertebrates (number),113
Netherlands,2004,Threatened Species: Total (number),34
Slovenia,2010,Threatened Species: Plants (number),0
Kuwait,2018,Threatened Species: Vertebrates (number),39
Liberia,2004,Threatened Species: Invertebrates (number),3
Malawi,2016,Threatened Species: Plants (number),24
Cyprus,2019,Threatened Species: Vertebrates (number),44
Other non-specified areas,2004,Threatened Species: Total (number),157
Marshall Islands,2018,Threatened Species: Total (number),101
Gambia,2010,Threatened Species: Plants (number),4
Nauru,2016,Threatened Species: Invertebrates (number),68
Syrian Arab Republic,2017,Threatened Species: Total (number),132
Djibouti,2020,Threatened Species: Invertebrates (number),57
Ireland,2017,Threatened Species: Invertebrates (number),6
Togo,2010,Threatened Species: Plants (number),10
Rwanda,2017,Threatened Species: Total (number),62
U.S. Minor Outlying islands,2010,Threatened Species: Invertebrates (number),44
Fiji,2019,Threatened Species: Vertebrates (number),57
Benin,2010,Threatened Species: Total (number),62
Gibraltar,2010,Threatened Species: Invertebrates (number),2
Gabon,2016,Threatened Species: Plants (number),162
Saudi Arabia,2019,Threatened Species: Plants (number),4
Mauritania,2010,Threatened Species: Total (number),58
Myanmar,2004,Threatened Species: Total (number),147
Bosnia and Herzegovina,2010,Threatened Species: Vertebrates (number),44
Sao Tome and Principe,2010,Threatened Species: Total (number),70
Uruguay,2004,Threatened Species: Total (number),50
Czechia,2010,Threatened Species: Total (number),33
Sint Maarten (Dutch part),2018,Threatened Species: Vertebrates (number),40
United Rep. of Tanzania,2016,Threatened Species: Plants (number),602
Saint Martin (French part),2020,Threatened Species: Total (number),59
British Virgin Islands,2016,Threatened Species: Total (number),61
Benin,2018,Threatened Species: Invertebrates (number),3
French Guiana,2016,Threatened Species: Invertebrates (number),0
Kiribati,2020,Threatened Species: Plants (number),0
Bahrain,2004,Threatened Species: Vertebrates (number),18
Pakistan,2010,Threatened Species: Plants (number),2
Cyprus,2016,Threatened Species: Total (number),71
Puerto Rico,2016,Threatened Species: Vertebrates (number),69
Hungary,2018,Threatened Species: Total (number),105
Iceland,2010,Threatened Species: Vertebrates (number),17
Papua New Guinea,2019,Threatened Species: Total (number),530
Libya,2004,Threatened Species: Vertebrates (number),24
"China, Macao SAR",2018,Threatened Species: Vertebrates (number),10
French Guiana,2020,Threatened Species: Invertebrates (number),0
Costa Rica,2004,Threatened Species: Vertebrates (number),112
Vanuatu,2016,Threatened Species: Vertebrates (number),37
Gambia,2016,Threatened Species: Vertebrates (number),60
Norway,2020,Threatened Species: Total (number),115
British Indian Ocean Terr.,2019,Threatened Species: Total (number),88
Lebanon,2016,Threatened Species: Vertebrates (number),58
British Indian Ocean Terr.,2016,Threatened Species: Total (number),84
Cameroon,2020,Threatened Species: Invertebrates (number),26
Svalbard and Jan Mayen Is.,2020,Threatened Species: Plants (number),1
Azerbaijan,2010,Threatened Species: Vertebrates (number),41
Slovakia,2016,Threatened Species: Invertebrates (number),22
United Arab Emirates,2018,Threatened Species: Total (number),60
Uganda,2019,Threatened Species: Vertebrates (number),126
Serbia,2018,Threatened Species: Vertebrates (number),35
Singapore,2010,Threatened Species: Plants (number),57
Monaco,2019,Threatened Species: Plants (number),2
Costa Rica,2010,Threatened Species: Total (number),285
Austria,2017,Threatened Species: Plants (number),21
Curaçao,2020,Threatened Species: Invertebrates (number),11
Tuvalu,2017,Threatened Species: Vertebrates (number),18
South Africa,2017,Threatened Species: Total (number),581
Peru,2010,Threatened Species: Plants (number),274
Tunisia,2020,Threatened Species: Vertebrates (number),74
Congo,2010,Threatened Species: Vertebrates (number),61
New Zealand,2004,Threatened Species: Invertebrates (number),14
Mongolia,2004,Threatened Species: Invertebrates (number),3
Philippines,2020,Threatened Species: Vertebrates (number),293
United Kingdom,2018,Threatened Species: Plants (number),48
Tonga,2004,Threatened Species: Plants (number),3
British Indian Ocean Terr.,2017,Threatened Species: Invertebrates (number),69
Croatia,2019,Threatened Species: Invertebrates (number),79
Marshall Islands,2010,Threatened Species: Invertebrates (number),67
Solomon Islands,2010,Threatened Species: Invertebrates (number),141
Cameroon,2018,Threatened Species: Plants (number),544
Kenya,2019,Threatened Species: Plants (number),248
United States Virgin Islands,2017,Threatened Species: Invertebrates (number),0
Eswatini,2018,Threatened Species: Plants (number),12
Georgia,2020,Threatened Species: Invertebrates (number),15
Botswana,2016,Threatened Species: Vertebrates (number),24
Bermuda,2017,Threatened Species: Total (number),72
Azerbaijan,2019,Threatened Species: Vertebrates (number),49
Réunion,2019,Threatened Species: Vertebrates (number),29
Other non-specified areas,2016,Threatened Species: Vertebrates (number),123
Poland,2004,Threatened Species: Invertebrates (number),15
Belize,2018,Threatened Species: Invertebrates (number),12
Ethiopia,2018,Threatened Species: Invertebrates (number),15
Bahrain,2017,Threatened Species: Total (number),36
Sudan,2010,Threatened Species: Total (number),112
Aruba,2016,Threatened Species: Total (number),32
France,2010,Threatened Species: Plants (number),15
Czechia,2020,Threatened Species: Vertebrates (number),14
Jamaica,2020,Threatened Species: Vertebrates (number),94
Hungary,2010,Threatened Species: Invertebrates (number),26
Ecuador,2018,Threatened Species: Plants (number),1864
Iraq,2016,Threatened Species: Plants (number),1
"China, Hong Kong SAR",2010,Threatened Species: Total (number),49
Mali,2019,Threatened Species: Vertebrates (number),37
Bahamas,2010,Threatened Species: Total (number),62
South Sudan,2017,Threatened Species: Vertebrates (number),34
Venezuela (Boliv. Rep. of),2010,Threatened Species: Invertebrates (number),21
Puerto Rico,2019,Threatened Species: Total (number),141
Monaco,2016,Threatened Species: Invertebrates (number),3
Brazil,2017,Threatened Species: Plants (number),532
Saint Kitts and Nevis,2004,Threatened Species: Vertebrates (number),17
French Guiana,2018,Threatened Species: Plants (number),18
Pakistan,2018,Threatened Species: Vertebrates (number),115
Cook Islands,2017,Threatened Species: Plants (number),11
France,2020,Threatened Species: Vertebrates (number),88
Spain,2017,Threatened Species: Plants (number),221
Pakistan,2018,Threatened Species: Invertebrates (number),18
Finland,2004,Threatened Species: Invertebrates (number),10
Sweden,2010,Threatened Species: Vertebrates (number),15
Eritrea,2016,Threatened Species: Total (number),120
Azerbaijan,2020,Threatened Species: Invertebrates (number),7
Israel,2018,Threatened Species: Invertebrates (number),74
Yemen,2017,Threatened Species: Vertebrates (number),68
Tokelau,2019,Threatened Species: Invertebrates (number),35
Canada,2019,Threatened Species: Total (number),168
Areas n.e.s,2017,Threatened Species: Vertebrates (number),3
Turkmenistan,2016,Threatened Species: Invertebrates (number),7
Dem. People's Rep. Korea,2017,Threatened Species: Vertebrates (number),58
Seychelles,2019,Threatened Species: Invertebrates (number),321
Anguilla,2017,Threatened Species: Vertebrates (number),38
United States of America,2020,Threatened Species: Total (number),1655
Sierra Leone,2010,Threatened Species: Vertebrates (number),77
Sudan,2018,Threatened Species: Invertebrates (number),50
Niue,2017,Threatened Species: Plants (number),0
Gibraltar,2010,Threatened Species: Vertebrates (number),20
Finland,2016,Threatened Species: Plants (number),8
Saint Vincent & Grenadines,2018,Threatened Species: Total (number),59
Trinidad and Tobago,2004,Threatened Species: Vertebrates (number),32
Austria,2020,Threatened Species: Total (number),185
Malawi,2010,Threatened Species: Vertebrates (number),127
Northern Mariana Islands,2016,Threatened Species: Vertebrates (number),39
Libya,2020,Threatened Species: Vertebrates (number),62
Malawi,2019,Threatened Species: Invertebrates (number),14
Bouvet Island,2018,Threatened Species: Total (number),3
Sri Lanka,2019,Threatened Species: Plants (number),298
Curaçao,2019,Threatened Species: Vertebrates (number),39
Morocco,2019,Threatened Species: Invertebrates (number),69
Brunei Darussalam,2019,Threatened Species: Plants (number),131
Switzerland,2017,Threatened Species: Invertebrates (number),44
Cameroon,2019,Threatened Species: Vertebrates (number),268
Togo,2016,Threatened Species: Invertebrates (number),3
Saint Martin (French part),2017,Threatened Species: Total (number),52
Paraguay,2010,Threatened Species: Total (number),48
Luxembourg,2019,Threatened Species: Plants (number),5
Nigeria,2010,Threatened Species: Invertebrates (number),12
Martinique,2018,Threatened Species: Invertebrates (number),2
Guadeloupe,2018,Threatened Species: Vertebrates (number),50
Guadeloupe,2004,Threatened Species: Vertebrates (number),25
Albania,2018,Threatened Species: Total (number),137
Tajikistan,2019,Threatened Species: Total (number),48
Barbados,2004,Threatened Species: Total (number),20
Azerbaijan,2019,Threatened Species: Invertebrates (number),7
Somalia,2016,Threatened Species: Plants (number),43
Gabon,2019,Threatened Species: Plants (number),181
Bosnia and Herzegovina,2010,Threatened Species: Plants (number),1
Suriname,2018,Threatened Species: Invertebrates (number),1
Cook Islands,2016,Threatened Species: Total (number),74
Angola,2010,Threatened Species: Total (number),117
Mexico,2020,Threatened Species: Vertebrates (number),751
Costa Rica,2010,Threatened Species: Plants (number),116
Northern Mariana Islands,2019,Threatened Species: Vertebrates (number),39
Indonesia,2017,Threatened Species: Vertebrates (number),564
Uganda,2004,Threatened Species: Total (number),134
Thailand,2017,Threatened Species: Vertebrates (number),248
Sudan,2004,Threatened Species: Plants (number),17
South Africa,2016,Threatened Species: Vertebrates (number),219
Fiji,2017,Threatened Species: Plants (number),71
Norway,2018,Threatened Species: Plants (number),21
China,2017,Threatened Species: Total (number),1080
Cuba,2016,Threatened Species: Invertebrates (number),23
Pitcairn,2004,Threatened Species: Total (number),27
Dominican Republic,2010,Threatened Species: Plants (number),30
Niger,2017,Threatened Species: Invertebrates (number),1
Finland,2020,Threatened Species: Vertebrates (number),19
French Guiana,2016,Threatened Species: Total (number),73
Turkmenistan,2017,Threatened Species: Invertebrates (number),7
Martinique,2016,Threatened Species: Plants (number),9
North Macedonia,2020,Threatened Species: Total (number),133
Niger,2016,Threatened Species: Invertebrates (number),1
Antigua and Barbuda,2017,Threatened Species: Plants (number),4
Haiti,2019,Threatened Species: Plants (number),94
Cyprus,2010,Threatened Species: Invertebrates (number),4
New Caledonia,2020,Threatened Species: Plants (number),510
Aruba,2018,Threatened Species: Vertebrates (number),28
Christmas Island,2018,Threatened Species: Vertebrates (number),18
Cayman Islands,2010,Threatened Species: Vertebrates (number),21
Burundi,2016,Threatened Species: Total (number),59
Namibia,2016,Threatened Species: Plants (number),28
Oman,2019,Threatened Species: Vertebrates (number),71
Indonesia,2018,Threatened Species: Invertebrates (number),287
Somalia,2010,Threatened Species: Invertebrates (number),51
Jordan,2017,Threatened Species: Vertebrates (number),47
Lesotho,2010,Threatened Species: Total (number),16
Canada,2010,Threatened Species: Plants (number),2
Norway,2017,Threatened Species: Invertebrates (number),10
Guam,2019,Threatened Species: Invertebrates (number),60
Marshall Islands,2004,Threatened Species: Plants (number),0
Maldives,2018,Threatened Species: Total (number),75
Bahrain,2017,Threatened Species: Plants (number),0
Côte d’Ivoire,2017,Threatened Species: Total (number),249
Cocos (Keeling) Islands,2017,Threatened Species: Plants (number),0
Jamaica,2016,Threatened Species: Total (number),300
Sierra Leone,2018,Threatened Species: Vertebrates (number),105
Republic of Moldova,2019,Threatened Species: Vertebrates (number),25
Bhutan,2018,Threatened Species: Vertebrates (number),51
Lao People's Dem. Rep.,2016,Threatened Species: Vertebrates (number),153
Austria,2004,Threatened Species: Vertebrates (number),20
Jordan,2016,Threatened Species: Vertebrates (number),47
South Sudan,2017,Threatened Species: Invertebrates (number),0
Côte d’Ivoire,2020,Threatened Species: Invertebrates (number),7
Turkey,2016,Threatened Species: Plants (number),105
Serbia,2019,Threatened Species: Plants (number),14
North Macedonia,2019,Threatened Species: Plants (number),7
Italy,2018,Threatened Species: Plants (number),109
San Marino,2018,Threatened Species: Vertebrates (number),0
Denmark,2019,Threatened Species: Vertebrates (number),30
Romania,2020,Threatened Species: Plants (number),22
Mongolia,2010,Threatened Species: Vertebrates (number),33
Angola,2017,Threatened Species: Invertebrates (number),9
Israel,2017,Threatened Species: Vertebrates (number),90
Curaçao,2019,Threatened Species: Total (number),52
Wallis and Futuna Islands,2010,Threatened Species: Total (number),74
Afghanistan,2010,Threatened Species: Total (number),34
Papua New Guinea,2020,Threatened Species: Vertebrates (number),173
Lithuania,2020,Threatened Species: Plants (number),15
Singapore,2019,Threatened Species: Invertebrates (number),173
Vanuatu,2019,Threatened Species: Vertebrates (number),39
Senegal,2017,Threatened Species: Vertebrates (number),98
Republic of Korea,2020,Threatened Species: Plants (number),38
Liberia,2019,Threatened Species: Total (number),207
Colombia,2016,Threatened Species: Invertebrates (number),52
Montenegro,2018,Threatened Species: Plants (number),3
Tunisia,2019,Threatened Species: Total (number),101
Philippines,2019,Threatened Species: Vertebrates (number),284
Antigua and Barbuda,2018,Threatened Species: Invertebrates (number),11
United States of America,2010,Threatened Species: Plants (number),245
Dominican Republic,2020,Threatened Species: Total (number),203
Turkmenistan,2019,Threatened Species: Total (number),59
Singapore,2004,Threatened Species: Plants (number),54
Greenland,2016,Threatened Species: Invertebrates (number),0
Tuvalu,2004,Threatened Species: Plants (number),0
Estonia,2020,Threatened Species: Plants (number),26
Cyprus,2010,Threatened Species: Total (number),43
Qatar,2020,Threatened Species: Vertebrates (number),37
Paraguay,2010,Threatened Species: Plants (number),10
Ethiopia,2017,Threatened Species: Plants (number),43
Dominica,2004,Threatened Species: Vertebrates (number),22
Jamaica,2020,Threatened Species: Total (number),323
Gambia,2016,Threatened Species: Invertebrates (number),2
Saint Vincent & Grenadines,2016,Threatened Species: Invertebrates (number),10
Azerbaijan,2010,Threatened Species: Invertebrates (number),4
Saint Helena,2018,Threatened Species: Plants (number),44
Pakistan,2004,Threatened Species: Invertebrates (number),0
Vanuatu,2004,Threatened Species: Invertebrates (number),0
Georgia,2017,Threatened Species: Total (number),120
Heard Is. and McDonald Is.,2019,Threatened Species: Plants (number),0
Norfolk Island,2004,Threatened Species: Plants (number),1
Guatemala,2010,Threatened Species: Vertebrates (number),140
Bolivia (Plurin. State of),2020,Threatened Species: Plants (number),162
Peru,2004,Threatened Species: Plants (number),274
Sierra Leone,2010,Threatened Species: Invertebrates (number),6
Tajikistan,2004,Threatened Species: Invertebrates (number),2
Dominica,2010,Threatened Species: Plants (number),10
Chad,2018,Threatened Species: Invertebrates (number),4
Côte d’Ivoire,2010,Threatened Species: Plants (number),106
Pitcairn,2019,Threatened Species: Invertebrates (number),16
Mayotte,2004,Threatened Species: Plants (number),0
Honduras,2020,Threatened Species: Total (number),342
Côte d’Ivoire,2004,Threatened Species: Total (number),167
Guadeloupe,2010,Threatened Species: Vertebrates (number),30
Germany,2020,Threatened Species: Vertebrates (number),42
Czechia,2019,Threatened Species: Vertebrates (number),14
Pitcairn,2020,Threatened Species: Total (number),44
Singapore,2016,Threatened Species: Invertebrates (number),173
Maldives,2010,Threatened Species: Invertebrates (number),39
Chile,2019,Threatened Species: Vertebrates (number),135
Samoa,2019,Threatened Species: Vertebrates (number),30
Saint Kitts and Nevis,2016,Threatened Species: Total (number),51
South Africa,2010,Threatened Species: Invertebrates (number),159
Eritrea,2010,Threatened Species: Invertebrates (number),50
Lithuania,2018,Threatened Species: Plants (number),2
Belgium,2020,Threatened Species: Invertebrates (number),15
Gabon,2019,Threatened Species: Vertebrates (number),106
United Arab Emirates,2019,Threatened Species: Invertebrates (number),15
Burundi,2019,Threatened Species: Vertebrates (number),46
Saint Barthélemy,2019,Threatened Species: Invertebrates (number),11
Denmark,2010,Threatened Species: Vertebrates (number),18
Australia,2019,Threatened Species: Invertebrates (number),545
Albania,2019,Threatened Species: Vertebrates (number),61
Bolivia (Plurin. State of),2004,Threatened Species: Vertebrates (number),79
Isle of Man,2018,Threatened Species: Total (number),3
Timor-Leste,2016,Threatened Species: Invertebrates (number),1
Samoa,2016,Threatened Species: Invertebrates (number),62
Gabon,2017,Threatened Species: Plants (number),162
Suriname,2016,Threatened Species: Invertebrates (number),1
French Southern Territories,2004,Threatened Species: Invertebrates (number),0
United Kingdom,2016,Threatened Species: Total (number),101
Guinea,2010,Threatened Species: Plants (number),22
Finland,2010,Threatened Species: Invertebrates (number),7
Philippines,2016,Threatened Species: Vertebrates (number),302
Turks and Caicos Islands,2004,Threatened Species: Total (number),20
Saint Lucia,2016,Threatened Species: Invertebrates (number),11
Belarus,2019,Threatened Species: Total (number),28
Andorra,2018,Threatened Species: Invertebrates (number),8
Palau,2010,Threatened Species: Plants (number),4
Saint Vincent & Grenadines,2017,Threatened Species: Plants (number),5
Bermuda,2016,Threatened Species: Plants (number),8
Pitcairn,2018,Threatened Species: Total (number),44
Trinidad and Tobago,2010,Threatened Species: Total (number),48
Philippines,2017,Threatened Species: Vertebrates (number),306
Colombia,2019,Threatened Species: Invertebrates (number),55
Czechia,2004,Threatened Species: Vertebrates (number),22
Togo,2018,Threatened Species: Total (number),85
"China, Hong Kong SAR",2004,Threatened Species: Plants (number),6
Oman,2019,Threatened Species: Plants (number),6
Japan,2018,Threatened Species: Plants (number),50
France,2004,Threatened Species: Plants (number),2
"China, Hong Kong SAR",2016,Threatened Species: Invertebrates (number),8
Antarctica,2016,Threatened Species: Vertebrates (number),6
Sudan,2018,Threatened Species: Vertebrates (number),73
Venezuela (Boliv. Rep. of),2018,Threatened Species: Vertebrates (number),228
United Rep. of Tanzania,2010,Threatened Species: Invertebrates (number),80
Egypt,2019,Threatened Species: Invertebrates (number),56
Zimbabwe,2017,Threatened Species: Total (number),89
Burundi,2016,Threatened Species: Vertebrates (number),44
Saint Vincent & Grenadines,2004,Threatened Species: Vertebrates (number),20
Antarctica,2019,Threatened Species: Total (number),6
Bouvet Island,2017,Threatened Species: Total (number),3
Libya,2010,Threatened Species: Plants (number),2
Falkland Islands (Malvinas),2004,Threatened Species: Vertebrates (number),21
Maldives,2016,Threatened Species: Total (number),75
United Arab Emirates,2020,Threatened Species: Invertebrates (number),15
Areas n.e.s,2019,Threatened Species: Vertebrates (number),7
Turkmenistan,2020,Threatened Species: Vertebrates (number),48
United Kingdom,2019,Threatened Species: Total (number),164
Lao People's Dem. Rep.,2020,Threatened Species: Plants (number),63
Martinique,2019,Threatened Species: Plants (number),9
Sierra Leone,2017,Threatened Species: Total (number),177
Burundi,2019,Threatened Species: Total (number),162
Saint Lucia,2020,Threatened Species: Invertebrates (number),11
Cook Islands,2020,Threatened Species: Vertebrates (number),34
Cook Islands,2004,Threatened Species: Total (number),23
French Guiana,2017,Threatened Species: Plants (number),18
Venezuela (Boliv. Rep. of),2004,Threatened Species: Plants (number),67
Barbados,2016,Threatened Species: Invertebrates (number),11
Yemen,2018,Threatened Species: Invertebrates (number),68
China,2019,Threatened Species: Invertebrates (number),79
Colombia,2004,Threatened Species: Invertebrates (number),0
Libya,2010,Threatened Species: Invertebrates (number),0
Bermuda,2019,Threatened Species: Invertebrates (number),28
Finland,2020,Threatened Species: Plants (number),32
Saint Vincent & Grenadines,2017,Threatened Species: Invertebrates (number),10
Saint Lucia,2010,Threatened Species: Total (number),46
Congo,2019,Threatened Species: Total (number),140
Namibia,2020,Threatened Species: Invertebrates (number),4
Burundi,2010,Threatened Species: Plants (number),2
Bouvet Island,2019,Threatened Species: Total (number),3
Chile,2020,Threatened Species: Vertebrates (number),140
Djibouti,2004,Threatened Species: Invertebrates (number),0
Czechia,2004,Threatened Species: Total (number),45
Bulgaria,2010,Threatened Species: Invertebrates (number),27
Papua New Guinea,2016,Threatened Species: Total (number),488
Philippines,2010,Threatened Species: Invertebrates (number),213
Dominican Republic,2004,Threatened Species: Total (number),104
Nauru,2020,Threatened Species: Plants (number),0
Western Sahara,2018,Threatened Species: Total (number),51
Eswatini,2010,Threatened Species: Invertebrates (number),0
Iceland,2004,Threatened Species: Invertebrates (number),0
British Virgin Islands,2016,Threatened Species: Plants (number),10
Niger,2019,Threatened Species: Plants (number),4
Slovenia,2017,Threatened Species: Total (number),143
Turks and Caicos Islands,2017,Threatened Species: Invertebrates (number),10
Ghana,2004,Threatened Species: Invertebrates (number),0
Cambodia,2019,Threatened Species: Total (number),272
Israel,2020,Threatened Species: Invertebrates (number),74
Falkland Islands (Malvinas),2019,Threatened Species: Invertebrates (number),0
Sao Tome and Principe,2019,Threatened Species: Vertebrates (number),51
Samoa,2004,Threatened Species: Vertebrates (number),15
Oman,2019,Threatened Species: Invertebrates (number),31
Gabon,2016,Threatened Species: Total (number),270
Areas n.e.s,2016,Threatened Species: Vertebrates (number),3
Bouvet Island,2004,Threatened Species: Vertebrates (number),1
Armenia,2017,Threatened Species: Vertebrates (number),34
Guinea-Bissau,2018,Threatened Species: Invertebrates (number),2
Mali,2016,Threatened Species: Invertebrates (number),0
Lithuania,2010,Threatened Species: Plants (number),0
Slovakia,2004,Threatened Species: Invertebrates (number),19
Kuwait,2016,Threatened Species: Vertebrates (number),36
Burundi,2020,Threatened Species: Invertebrates (number),6
Saint Barthélemy,2016,Threatened Species: Total (number),31
South Sudan,2019,Threatened Species: Plants (number),17
Antigua and Barbuda,2004,Threatened Species: Plants (number),4
Serbia,2020,Threatened Species: Total (number),86
Belarus,2016,Threatened Species: Plants (number),1
Somalia,2016,Threatened Species: Vertebrates (number),66
Afghanistan,2016,Threatened Species: Total (number),42
Kazakhstan,2019,Threatened Species: Vertebrates (number),59
Suriname,2019,Threatened Species: Plants (number),28
Indonesia,2016,Threatened Species: Total (number),1257
Liechtenstein,2010,Threatened Species: Vertebrates (number),0
Lithuania,2004,Threatened Species: Total (number),17
Guyana,2018,Threatened Species: Total (number),100
Haiti,2004,Threatened Species: Invertebrates (number),2
Monaco,2017,Threatened Species: Plants (number),0
Cameroon,2020,Threatened Species: Vertebrates (number),272
Greenland,2010,Threatened Species: Invertebrates (number),0
Malawi,2020,Threatened Species: Total (number),130
Haiti,2010,Threatened Species: Invertebrates (number),14
Antigua and Barbuda,2016,Threatened Species: Invertebrates (number),11
Curaçao,2018,Threatened Species: Vertebrates (number),38
United Rep. of Tanzania,2018,Threatened Species: Plants (number),632
